Unnamed: 0,customer_id,firm_tx_count,firm_size_wallet,firm_name,total_wallet,firm_potential_wallet,firm_sow_fee,firm_sow_tx,customer_firms_count,total_tx_count,total_wallet_quintile,sow_bin
705669,0xc4b3b149c0f9d341afd9e53e5828a8f0b6872f53,18,1074.349573873,opensea,1074.349573873,0.0,1.0,1.0,1,18,5th_quintile,Bin 5
328993,0x6cb40af34b689ca917a97067c446694d1feade40,1,0.0,gem,1066.503421953,1066.503421953,0.0,0.25,2,4,5th_quintile,Bin 1
973253,0x7d970ee28cab19f311d160b0658194edf93fab5e,1,0.02940837845,opensea,0.02940837845,0.0,1.0,0.5,2,2,1st_quintile,Bin 5
863975,0x85443c8ad3799f1b71bda959e254b27adf266c75,9,5.539226509,opensea,18.3131086295,12.7738821205,0.3024733059289037,0.4285714285714285,4,21,3rd_quintile,Bin 2
561532,0x85cbfdb900c30d5d0f8449fec7b1c85154b8611e,1,73.4467025,opensea,73.4467025,0.0,1.0,1.0,1,1,4th_quintile,Bin 5
1605652,0x01bfdda4ae8ad57447cd88cdf70e0e33e769d830,1,0.617813174,opensea,1.0977606725,0.4799474984999999,0.5627940492648684,0.5,2,2,1st_quintile,Bin 3
580437,0xc8298f92fc99eb7d8b44b1a298ef48f1b488decc,1,0.0,gem,47.088536024,47.088536024,0.0,0.1,2,10,4th_quintile,Bin 1
1435201,0xfd1a933606fc6fbfe2a200df73b40a54c876469a,1,88.331380877,opensea,88.331380877,0.0,1.0,1.0,1,1,4th_quintile,Bin 5
745803,0xce07a45639cde011e81bf9db47bea5886264c55a,6,373.973249895,opensea,373.973249895,0.0,1.0,1.0,1,6,5th_quintile,Bin 5
776238,0x2b6f0c74ed6aef9b0627f67a8ff54465c5958e0b,12,40.80587208,opensea,40.80587208,0.0,1.0,1.0,1,12,3rd_quintile,Bin 5
1266957,0xad8d756e3bcec496f8da02a4055b34f32c5d8d55,21,472.024723301,opensea,563.518279409,91.493556108,0.8376387076494564,0.7777777777777778,3,27,5th_quintile,Bin 5
1057615,0xbe89173191479324d0f4a71ac349a39e01b31d52,8,13.431055039,gem,106.064187402,92.633132363,0.1266313858427461,0.1403508771929824,3,57,4th_quintile,Bin 1
1627177,0xf6673eac0f0c4a596e6d221f899f31b0bee4c3bb,1,0.0,x2y2,464.682463145,464.682463145,0.0,0.025,3,40,5th_quintile,Bin 1
1418366,0x7331c9f6aff2f865a344a306a56fabddd212815a,1,0.54528005,blur,176.82607954600002,176.280799496,0.003083708304793,0.0089285714285714,3,112,4th_quintile,Bin 1
881695,0x1f59b21bf71299de8fe2f4e23879b5786757da57,1,0.0,gem,92.118141349,92.118141349,0.0,0.0555555555555555,2,18,4th_quintile,Bin 1
561588,0x891cfe826e233499472fc1a0cbf593e41b4ee5fe,1,3.094379294,opensea,3.094379294,0.0,1.0,1.0,1,1,2nd_quintile,Bin 5
1667119,0x0479bd97c0f58bac1547971f448744d3204d9749,3,64.575142722,looksrare,85.49736772199999,20.922225,0.7552880801192627,0.75,2,4,4th_quintile,Bin 4
980357,0xeb5c81d7daab4bc8b43407bfd55b3eb8505fb372,1,0.59073375,gem,49.655257203,49.064523453,0.0118967010398308,0.1428571428571428,2,7,4th_quintile,Bin 1
1232602,0x530eb361d7db66bf3d8acea0268ca255a3b646ec,1,0.94179475,opensea,0.94179475,0.0,1.0,1.0,1,1,1st_quintile,Bin 5
1249065,0x48e23e199f614de2610b9ed3fdd3ac184ee02e30,6,0.796344,opensea,0.796344,0.0,1.0,1.0,1,6,1st_quintile,Bin 5
1817717,0x2a00dda607b58f722a1d911be775e72d255fb7ec,2,11.5172625,opensea,11.5172625,0.0,1.0,1.0,1,2,2nd_quintile,Bin 5
674706,0x861c8adebd2fca059ebd31285efad045e8678532,22,418.869057513,opensea,418.869057513,0.0,1.0,1.0,1,22,5th_quintile,Bin 5
988572,0x236e5f13945421ef085a109c71c9e78e3464d0bf,1,8.53683374,gem,275.676868645,267.140034905,0.0309668119126571,0.0149253731343283,3,67,5th_quintile,Bin 1
1727746,0x2194620770b5377864809d5acdd7bbfaf437501b,1,11.065145,opensea,11.065145,0.0,1.0,1.0,1,1,2nd_quintile,Bin 5
203741,0x30277ef932d6212748932051080000c6a6e7551f,55,9.570148708,gem,528.870401273,519.3002525649999,0.0180954515226499,0.1671732522796352,4,329,5th_quintile,Bin 1
170099,0xe20e150c610581608d53cd76f8064e19b6476ce7,25,585.292510658,opensea,585.292510658,0.0,1.0,0.8928571428571429,2,28,5th_quintile,Bin 5
866922,0xf4a60fe97b90645c82858dda73e8b52b250894db,2,0.2407462582,gem,0.5642913914000001,0.3235451332,0.4266346463353117,0.4,2,5,1st_quintile,Bin 3
803872,0x5b4a139263f790722b6f485cd9fd9b95ede6d178,1,0.0,gem,332.492705361,332.492705361,0.0,0.0714285714285714,2,14,5th_quintile,Bin 1
1233217,0xf18a46d135917d9ea3b719f1da724d7bf966494f,7,0.0,blur,7452.57293449,7452.57293449,0.0,0.056910569105691,3,123,5th_quintile,Bin 1
1564750,0x8f7b73f9d0767b754166f303605e9695f1666dd6,1,16.1428775,opensea,16.1428775,0.0,1.0,1.0,1,1,3rd_quintile,Bin 5
745340,0x07a03154aead66262088cceef8d770d322bb11c5,4,1.736087182,opensea,1.736087182,0.0,1.0,1.0,1,4,1st_quintile,Bin 5
641256,0xd99bd14fd5e2fdae1e39a52cf73bc1d78c523975,1,3.633047775,opensea,3.633047775,0.0,1.0,1.0,1,1,2nd_quintile,Bin 5
1208181,0xb948fd2d10d2d129532c320cdee97b850174d9c3,1,85.094768,looksrare,576.254330458,491.159562458,0.1476687696773883,0.3333333333333333,2,3,5th_quintile,Bin 1
653785,0x5663766231b3fee2079e5475d347d9f5b51432f7,2,38.03188,opensea,38.03188,0.0,1.0,1.0,1,2,3rd_quintile,Bin 5
1298317,0x31c0e43a20108f43e7025a1cb92a7e761a61e317,4,16.356293225,opensea,16.356293225,0.0,1.0,1.0,1,4,3rd_quintile,Bin 5
1260420,0xf1253cd4d7cac1b447cbe40ef3c0a6d26a149d67,3,16.372575,gem,3222.31794908,3205.94537408,0.0050809930176736,0.0365853658536585,2,82,5th_quintile,Bin 1
888130,0x54c0ecc51b79b5a5d6e97db551d6dbf35520bef0,1,0.11795325,gem,0.11795325,0.0,1.0,1.0,1,1,1st_quintile,Bin 5
1329306,0x4dc23ba01497280984896fb58f91313521c693f9,9,192.234606366,opensea,192.234606366,0.0,1.0,1.0,1,9,4th_quintile,Bin 5
101739,0xc71382ba4eae24a0dca6ffcd9eef0a6783436f8e,38,722.395712985,opensea,726.4985103460001,4.102797361000057,0.9943526417431384,0.9743589743589745,2,39,5th_quintile,Bin 5
184508,0x855877bccd0df1f14de6745ff8e0245b5528937c,8,69.866117885,opensea,69.866117885,0.0,1.0,1.0,1,8,4th_quintile,Bin 5
1778908,0x7cc9b0b9dc84758ffa23ba8a9714e9f671f8c2ae,1,20.3258205,opensea,20.3258205,0.0,1.0,1.0,1,1,3rd_quintile,Bin 5
521164,0x9f2b6583bce4e026d75919eb61077c03ca903dac,1,5.126054579,opensea,5.126054579,0.0,1.0,1.0,1,1,2nd_quintile,Bin 5
753637,0x5a40a4202331c32a81b77f1fc2b32aaa5a1e279e,6,183.648989,opensea,183.648989,0.0,1.0,1.0,1,6,4th_quintile,Bin 5
1229618,0xad39bfd4bc14a91b6cf9047b23c4ffe09dcb7b54,3,29.0874912,opensea,29.0874912,0.0,1.0,1.0,1,3,3rd_quintile,Bin 5
1728907,0x2e4145a204598534ea12b772853c08e736248e7b,1,0.6367,gem,363.790718261,363.154018261,0.0017501820910757,0.03125,4,32,5th_quintile,Bin 1
1032978,0xc019d8d74d43e336229aeb93dd4907d6133a16e7,1,0.19443155,blur,201.962208842,201.767777292,0.0009627125347599,0.0125,4,80,4th_quintile,Bin 1
662897,0xb232360d37362cf0458bc156839feff1b0955891,3,38.415090848,gem,1664.037151527,1625.6220606789998,0.023085476675054,0.0508474576271186,3,59,5th_quintile,Bin 1
888073,0x6c6acf6825ee1e5f1520b7f777597f91ca16d3b7,6,3.77004831,opensea,3.77004831,0.0,1.0,1.0,1,6,2nd_quintile,Bin 5
292836,0x22e86ab483084053562ce713e94431c29d1adb8b,4,51.913126025,opensea,298.289852634,246.376726609,0.1740358432128669,0.4,3,10,5th_quintile,Bin 1
1072809,0xf137897d4bc2142db783b85aeca366f6d67b9f3d,6,61.252961326,opensea,61.252961326,0.0,1.0,1.0,1,6,4th_quintile,Bin 5
